"id","date","prcp","snwd","tavg","tmax","tmin","tobs","wesd","dapr","mdpr","snow","wesf","elevationMeter","latitude","name","datacoverage","GHCND_id","longitude","mountain"
"USS0021D08S",2016-01-01,0,1905,-32,-8,-62,-41,5461,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-02,0,1905,-72,-39,-100,-98,5436,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-03,102,1880,-49,11,-106,10,5537,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-04,0,1880,4,21,-12,-6,5537,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-05,76,1880,-1,10,-12,-10,5613,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-06,0,1854,-9,7,-18,-8,5613,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-07,25,1880,-13,3,-30,-29,5639,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-08,25,1854,-18,3,-37,-14,5664,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-09,25,1854,-14,9,-36,-22,5664,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-10,0,1854,-17,6,-40,-40,5664,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-11,76,1854,-4,17,-44,16,5740,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
